chunk_id,text,source_type,label
interview_revolut_01_001,"Discovery interview — Revolut
Participant: Digital nomad, female, 29, freelance UX designer
Interviewer: Product researcher
Setting: Remote video call, ~45 minutes
Date: October 2025

---

Interviewer: Hi! Thanks so much for joining today. Before we start, can you tell me a bit about yourself and how you generally manage your money?",interview,
interview_revolut_01_002,"Participant: Sure, hi! So I'm Sofia, I'm a freelance UX designer, and I've been location-independent for about three years now. Right now I'm in Lisbon, but last year I spent six months in Mexico City and three in Bali.",interview,
interview_revolut_01_003,"The money thing has been... a journey, honestly. I started with a regular UK bank — HSBC — and that was a nightmare. They kept flagging my card every time I tried to buy a coffee in a new country.",interview,
interview_revolut_01_004,"Like, I get it, security, but I literally told them I was traveling. Multiple times. Anyway, a friend in Berlin told me about Revolut maybe two and a half years ago and I haven't really looked back.",interview,
interview_revolut_01_005,Interviewer: Got it. So when you say you haven't looked back — does that mean Revolut is your primary account now? Participant: Yeah.,interview,
interview_revolut_01_006,"Well, mostly. I still have HSBC because I get paid into it sometimes — some clients are old-school and only do bank transfers to UK accounts. But like 80% of my actual life happens in Revolut.",interview,
interview_revolut_01_007,"Spending, transfers, even some of my savings. Interviewer: That's helpful. Can you walk me through what happened the first time you tried to send money internationally with Revolut?",interview,
interview_revolut_01_008,"Participant: Oh god, okay. So this was, um, maybe a year and a half ago? I had to pay rent in euros to my landlady in Berlin while I was still earning in pounds.",interview,
interview_revolut_01_009,"And I remember being really nervous because with HSBC the exchange rate was always — they would say ""no fees"" but then the rate was just terrible, you know? You'd lose like 4% just on the spread. So I tried Revolut, and I think I sent like fifty pounds first as a test, because I just didn't trust it.",interview,
interview_revolut_01_010,And it arrived in like — I want to say two minutes? It was almost suspicious. I actually messaged my landlady to make sure it was real money.,interview,
interview_revolut_01_011,"Interviewer: Ha, that's a great way to put it. What was suspicious about it? Participant: Just — banks have always been slow.",interview,
interview_revolut_01_012,"Like, that's the whole experience of banks. You send money and it disappears for three days and you cross your fingers. So when something is instant, your brain goes ""wait, where's the catch?""",interview,
interview_revolut_01_013,"The catch turned out to be nothing, really. I mean, on weekends the rate is slightly worse, which I learned later. But for what I needed it was fine.",interview,
interview_revolut_01_014,"Interviewer: You mentioned the rate. How aware are you, day to day, of the exchange rate Revolut is giving you? Participant: Honestly?",interview,
interview_revolut_01_015,Not as aware as I should be. I check it sometimes. Like before a big transfer I'll glance at the rate.,interview,
interview_revolut_01_016,But for everyday spending — like buying groceries in a different currency — I just trust it. I assume it's basically the market rate. I don't actually know.,interview,
interview_revolut_01_017,"I should probably check that. Interviewer: What would help you check it more easily? Participant: I mean, the in-app rate is shown when you're doing a transfer, which is good.",interview,
interview_revolut_01_018,"But when I'm just paying with the card, I have no idea what rate I got until the transaction shows up. And by then it's too late anyway. I guess... a notification?",interview,
interview_revolut_01_019,"Like ""hey you just paid 12 euros at this rate""? But also that would be annoying probably. I don't know.",interview,
interview_revolut_01_020,Interviewer: That's interesting. Let's talk about trust. You said you keep most of your life in Revolut now.,interview,
interview_revolut_01_021,Do you trust it completely? Participant: Yes. I mean — yes.,interview,
interview_revolut_01_022,"Interviewer: Mostly? Participant: Okay so, here's a contradiction I have with myself. I say I trust it.",interview,
interview_revolut_01_023,But I also keep a kind of emergency buffer in HSBC. Like maybe 800 pounds that I don't touch. Just in case.,interview,
interview_revolut_01_024,"And I know that's irrational because if Revolut went down HSBC isn't going to magically be available either, like there's no logical reason. But there's something about — I don't know, fintech is fintech, you know? It's an app.",interview,
interview_revolut_01_025,My HSBC account has a physical building somewhere with people in it. That feels different even though logically it shouldn't. Interviewer: That's super interesting.,interview,
interview_revolut_01_026,Have you ever had a problem with Revolut that made you nervous? Participant: Oh yeah. So this was probably eight months ago.,interview,
interview_revolut_01_027,"I was in Mexico City and I tried to buy a flight to Oaxaca with my Revolut card and it just got declined. And I tried again, declined. And then I checked the app and it said something like ""your card has been temporarily blocked for your protection.""",interview,
interview_revolut_01_028,"And I was just standing there in this airport like — okay. So I tried to use the chat support thing in the app, and the chat just... it wasn't really a chat. It was like a bot that kept asking me to verify things.",interview,
interview_revolut_01_029,"And then it said an agent would be with me in — I don't remember — like 30 minutes? And I'm at the airport. So I ended up paying with my HSBC card, which obviously also got flagged because of course it did, but then I called HSBC and they unblocked it in like 4 minutes because I could actually talk to a human.",interview,
interview_revolut_01_030,Interviewer: How did the Revolut situation eventually resolve? Participant: I think someone replied like 90 minutes later? And by then I'd already missed the flight I was trying to book.,interview,
interview_revolut_01_031,"They unfroze the card. They didn't really apologize, they just said ""your card is now active."" Which — fine.",interview,
interview_revolut_01_032,"But yeah, that whole experience was really frustrating because I literally couldn't reach a human when I needed one. And the thing is, I get why they do it, I'm sure they prevent fraud all the time, but as the person in the airport you just feel completely powerless. Interviewer: After that, did anything change about how you use Revolut?",interview,
interview_revolut_01_033,"Participant: Yeah, I top up my HSBC card before I travel anywhere now. Just so I have a backup. So in a way I trust it less?",interview,
interview_revolut_01_034,But I still use it. It's still my main thing because the alternative is just worse. Have you tried doing international transfers with HSBC?,interview,
interview_revolut_01_035,"It's like filling out a tax form. Interviewer: Have you considered alternatives like Wise or N26? Participant: Yeah, I have Wise actually.",interview,
interview_revolut_01_036,"I use it for receiving money from US clients sometimes because the rates on USD-GBP are slightly better. But Wise feels more like a tool, you know? Like I open it when I need to transfer something and then I close it.",interview,
interview_revolut_01_037,"Revolut is — it's a place I live. I check my spending, I have my budgets, I see my analytics. Wise doesn't feel like home.",interview,
interview_revolut_01_038,N26 I tried briefly when I was in Berlin but I just never really got into it. The app felt clunky. Interviewer: You mentioned analytics.,interview,
interview_revolut_01_039,"How do you use those? Participant: I look at the spending breakdowns, like how much I spent on groceries vs going out vs travel. It's mostly to feel guilty, honestly.",interview,
interview_revolut_01_040,"Like at the end of the month I'll see ""you spent 340 pounds on restaurants"" and I'll be like, oh god. But I never actually change my behavior based on it. I just feel bad for an afternoon.",interview,
interview_revolut_01_041,Is that useful? I don't know. Probably not.,interview,
interview_revolut_01_042,"Interviewer: What about savings? You mentioned you keep some savings in Revolut. Participant: Yeah, I have a vault.",interview,
interview_revolut_01_043,I think it's called a Pocket now? Or a Vault? They renamed something.,interview,
interview_revolut_01_044,"I have one for taxes because as a freelancer that's a thing you have to think about. And I have one for ""next move"" which is just money I'm setting aside for when I move to the next country. The interface for that is fine.",interview,
interview_revolut_01_045,"I set up a recurring transfer when I get paid. The interest rate is okay, not amazing, but I'm not really doing it for the interest, I'm doing it because if it's in a vault I won't accidentally spend it. Interviewer: Have you ever considered Revolut Premium or Metal?",interview,
interview_revolut_01_046,Participant: I had Premium for a few months. The lounge access was nice when I was traveling a lot. But honestly I couldn't justify the cost given how much I was actually using it.,interview,
interview_revolut_01_047,"I downgraded back to free. I think if I traveled even more I'd reconsider, but right now I'm staying put for stretches of three or four months at a time so the lounge thing isn't worth it. Interviewer: One last question.",interview,
interview_revolut_01_048,"If you could change one thing about Revolut, what would it be? Participant: Oh that's a good one. Customer support, hands down.",interview,
interview_revolut_01_049,"The product itself I really like. The transfers, the cards, the analytics, all of that — fine, good even. But the moment something goes wrong, you feel like you're shouting into a void.",interview,
interview_revolut_01_050,"And for a thing that holds your money, that's a really specific kind of stress. If I could pay a small monthly fee to get a real human within 5 minutes, I'd probably do it. Like that's how much I value it.",interview,
interview_revolut_01_051,"Interviewer: Has that ever made you consider switching back to a traditional bank? Participant: No. I mean, like I said, traditional banks are worse in pretty much every other way.",interview,
interview_revolut_01_052,"So I'm stuck. But ""stuck because the alternatives are worse"" isn't the same as loving something, you know? Interviewer: That's a great note to end on.",interview,
interview_revolut_01_053,"Thank you so much, Sofia, this was really useful. Participant: Yeah, of course! Hope it helps.",interview,
interview_asana_01_001,"DISCOVERY LENS — SYNTHETIC USER INTERVIEW
Project: Asana Onboarding
Interview ID: INT-ASANA-01
Participant: Sarah K., Content Marketing Manager, ~30-person B2B SaaS company
Interviewer: Priya S., UX Researcher
Date: 2026-03-17
Duration: 44 minutes
Context: Sarah's team signed up ~6 weeks ago; completed first project within 3 weeks

---

[00:01:05]

PRIYA: Thanks for joining, Sarah. Let's just start from the beginning — how did your team end up on Asana? SARAH: So our CMO basically said we need a project management tool, here are three options, pick one.",interview,
interview_asana_01_002,And we picked Asana. Which I say like it was a group decision but honestly it was mostly me because I'd heard of it and the other two options were Monday.com and something I'd never heard of. So I just went with Asana because at least I had some mental model of it.,interview,
interview_asana_01_003,PRIYA: Had you used it before? SARAH: A little. Like at a previous job it was sort of around but I wasn't a power user.,interview,
interview_asana_01_004,I mostly just checked off tasks that other people assigned me. Setting it up myself was a completely different thing. I remember thinking — okay so I've seen this tool before and I still don't know how to set it up.,interview,
interview_asana_01_005,Which felt embarrassing. PRIYA: Why embarrassing? SARAH: Because I'm supposed to be organized.,interview,
interview_asana_01_006,That's literally part of my job. So admitting that a project management tool is confusing felt like a character flaw. I think that's partly why I spent so much time trying to figure it out myself before asking anyone.,interview,
interview_asana_01_007,"I watched a bunch of YouTube videos actually. Not Asana's official ones, like third-party ones. Which is kind of funny in hindsight — the official help was probably fine but I trusted random people on YouTube more because they showed actual workflows.",interview,
interview_asana_01_008,"[00:04:50]

PRIYA: Walk me through setting up your first project. SARAH: Okay so our first real project was a product launch campaign. Which, again, in hindsight was maybe too big.",interview,
interview_asana_01_009,"It involved like six workstreams — email, social, blog, PR, paid, and events — and I tried to set up sections for each one. And then within each section I had tasks and subtasks and... it got complicated fast. The issue was I kept second-guessing the structure.",interview,
interview_asana_01_010,"Like, is a blog post one task or multiple tasks? Is it one task per post, or one task per stage — brief, draft, review, publish? I kept changing my mind.",interview,
interview_asana_01_011,"And every time I restructured things, the people I'd already assigned tasks to would get notifications and be like ""why did my task move?"" And I'd have to explain. PRIYA: How did the team respond to those changes?",interview,
interview_asana_01_012,"SARAH: Not great. There was one person, Camille, who does our social content, and she came to me like week two and said ""I don't know what I'm supposed to be doing in here."" And I felt terrible because I'd sent her like three task reassignments in two days.",interview,
interview_asana_01_013,"So I stopped reorganizing and just let the structure be imperfect. Which meant the project had this weird hybrid thing where some workstreams were in sections and some were in their own sub-projects and it was not clean. [00:09:20]

PRIYA: Did you ever feel like you got traction?",interview,
interview_asana_01_014,"SARAH: Yeah, actually. The thing that changed it for us was — okay so I'm embarrassed I didn't do this earlier, but I booked a 30-minute team sync specifically to walk through Asana together. Like, here's how I've structured this, here's where your tasks are, here's how to mark things done.",interview,
interview_asana_01_015,And after that meeting things got way better. People started using it. I think before that meeting everyone was kind of tiptoeing around the tool.,interview,
interview_asana_01_016,PRIYA: What do you think happened in that meeting that made the difference? SARAH: I think people stopped feeling like they might do something wrong. Like there was a fear of — if I click the wrong button will I mess something up?,interview,
interview_asana_01_017,"Will I delete someone's task? And just showing them that it's pretty hard to break things, and that there's an undo function, and that I could fix anything they messed up — that helped. Also I showed them where their tasks were specifically.",interview,
interview_asana_01_018,"Not the whole project, just ""here's your stuff."" Once they could see their own name attached to things it clicked. [00:14:33]

PRIYA: What features caused the most confusion early on?",interview,
interview_asana_01_019,SARAH: Comments versus task descriptions. I did not understand for a long time that the description and the comment thread were two different things and that one was more for context and one was for back-and-forth. I put updates in the description for the first two weeks and then realized no one was seeing them because they weren't getting notifications for description edits.,interview,
interview_asana_01_020,So I'd update a brief in the description and then wonder why no one was responding. PRIYA: Did you figure that out on your own? SARAH: My colleague figured it out.,interview,
interview_asana_01_021,She came from a company that used Asana heavily and she said — oh you should be leaving a comment and tagging people. And I felt dumb. But also I feel like there should be a clearer UI distinction.,interview,
interview_asana_01_022,"Like the description and the comment box look really similar? Also — and this is a totally different thing — the approvals feature. We have an approval workflow for every piece of content, everything goes through our head of content before it goes live.",interview,
interview_asana_01_023,I didn't know Asana had an approvals feature until like a month in. I was doing approvals over email this whole time. And when I found it I was genuinely annoyed because it was exactly what I needed and it had been there the whole time.,interview,
interview_asana_01_024,"PRIYA: How did you find it? SARAH: I think I Googled ""Asana approval workflow"" and a blog post came up. Not from Asana's site.",interview,
interview_asana_01_025,"Which is — look, I'm not trying to be critical, but if there's a feature that directly maps to a very common marketing workflow, maybe surface that earlier? Like during setup when it detects you're in marketing or when you add a content project? [00:20:11]

PRIYA: Let's talk about the first project completing.",interview,
interview_asana_01_026,What did that feel like? SARAH: Honestly? Anticlimactic.,interview,
interview_asana_01_027,"I'm not sure I ""completed"" it so much as it just... ended. The campaign went live, and then the tasks were just kind of sitting there marked done. I didn't really know what to do with the project after.",interview,
interview_asana_01_028,Do I archive it? Do I leave it? I didn't want to delete it because the comments had useful context.,interview,
interview_asana_01_029,So it just sat there and now it's in my sidebar and every time I look at it I feel vaguely guilty. PRIYA: [laughs] Has that affected how you think about starting new projects? SARAH: A little.,interview,
interview_asana_01_030,"I think I'm more thoughtful now about what ""done"" looks like before I start. Like the project needs a clear end state, not just a campaign launch but like, all tasks complete, retrospective done, project archived. But I wasn't thinking about that the first time.",interview,
interview_asana_01_031,"[00:24:45]

PRIYA: What about integrations? Did you connect Asana to other tools? SARAH: We use Slack and Google Workspace, so I tried to connect those.",interview,
interview_asana_01_032,The Slack integration works okay — it will notify in a channel when a task is completed. We set that up for a channel called #campaign-updates and in theory the team can see progress without going into Asana. In practice I think three people muted that channel because it was too noisy.,interview,
interview_asana_01_033,"So we turned off some of the notifications and now I'm not sure it does anything. Google Docs I tried to link in task descriptions, which is fine, but it's just a link, it doesn't tell you anything about the doc. Like if the doc has been updated I still have to go check it.",interview,
interview_asana_01_034,"I kind of hoped it would be smarter than that. Like ""this linked doc was edited yesterday"" or something. Maybe that's too much to ask.",interview,
interview_asana_01_035,PRIYA: Any other tools? SARAH: We don't use any others for project management. But I will say — I looked at the integration library at some point and it's enormous.,interview,
interview_asana_01_036,Like there are hundreds of integrations. And I felt weirdly paralyzed. Like should I be connecting to all these things?,interview,
interview_asana_01_037,"Am I missing something? I ended up doing nothing because choosing felt hard. [00:29:58]

PRIYA: Was there a moment where you almost switched to a different tool?",interview,
interview_asana_01_038,SARAH: Yeah. I was very close to saying let's just use Notion because at least I know Notion. The specific thing that almost made me switch was I couldn't figure out how to see across all my projects in one view.,interview,
interview_asana_01_039,"Like I wanted a single place to see everything due this week across all my projects and I could not find it for a long time. I think it's in the ""My Work"" section? Or ""Home""?",interview,
interview_asana_01_040,I keep forgetting what it's called. But at the time I couldn't find it and I thought — what is even the point of this if I still have to check each project individually. PRIYA: Did you find it eventually?,interview,
interview_asana_01_041,"SARAH: Yes, but someone told me. A friend who uses Asana sent me a screenshot when I complained on Slack. And I was like — okay cool this is the thing I needed.",interview,
interview_asana_01_042,"But it should not require a friend to tell me that exists. [00:34:12]

PRIYA: Has Asana changed how your team works? SARAH: I think so.",interview,
interview_asana_01_043,"The thing I notice most is I get fewer status-update Slack messages. Before, people would DM me constantly like ""hey is the blog draft done yet"" and now they can just go look. That is genuinely better.",interview,
interview_asana_01_044,"I do think the team trusts the tool more now than they did in the first few weeks. But also — and this is a contradiction maybe — I spend more time managing Asana than I expected. Like keeping the project clean, updating tasks, making sure descriptions have enough context.",interview,
interview_asana_01_045,That maintenance work wasn't something I budgeted for. It probably takes me 20-30 minutes a day? And I'm not sure that's offset by the time I save elsewhere yet.,interview,
interview_asana_01_046,Maybe eventually. PRIYA: Do you think that will change over time? SARAH: I think so.,interview,
interview_asana_01_047,I think part of it is that we're still building habits. Like we don't have a consistent process for how we write task descriptions or when to use subtasks versus tasks and those decisions still take mental energy every time. If we had clearer norms that would help.,interview,
interview_asana_01_048,"[00:39:40]

PRIYA: Last question — what's one thing Asana could have done differently to make those first 30 days better? SARAH: I think I needed a real guided setup experience that was specific to my team's work, not generic. Like not ""create your first task!""",interview,
interview_asana_01_049,"but ""you're setting up a marketing team, here's a project template for a campaign launch, here's how approvals work, here's how to connect your Slack channel."" Just... make it relevant to me. The generic stuff felt like training wheels when I needed a bicycle.",interview,
interview_asana_01_050,"Also — and I thought of this because you asked — when I added my team members, nothing happened. Like, they got an invite, they joined, and then... nothing told me what to do next. There was no ""great, now orient your team"" prompt.",interview,
interview_asana_01_051,"I think a lot of my early pain would have been avoided if the product had said ""now that your team is here, here's a 3-step checklist to make sure everyone knows what they're doing."" PRIYA: That's really helpful. Thank you, Sarah.",interview,
interview_asana_01_052,SARAH: Of course. I hope it helps. And I want to say again — I do like Asana.,interview,
interview_asana_01_053,"I'm not saying it's bad. But the early period was rocky and I think it didn't have to be. ---

[END OF TRANSCRIPT]

RESEARCHER NOTES (Priya S.):
- ""Too embarrassed to ask for help"" dynamic — self-sufficiency norm in marketing roles may create a silent onboarding failure mode
- Structure indecision led to constant reorganization → notification noise → team confusion; signals need for opinionated starting structure
- Team alignment meeting (week 2, 30 min) was the real activation event, not the product onboarding
- Approvals feature discovered via Google/blog, not in-product — feature-to-workflow matching gap
- ""Anticlimactic completion"" — no closure ritual or archiving prompt; project completion UX absent
- Cross-project view (""My Work"") discovered via social network, not product — findability issue
- Contradiction: values reduced status DM noise (Asana working) but estimates 20-30 min/day maintenance overhead (not yet clearly net positive)
- Strong JTBD signal: ""I need to stop being the status update hub for my team""",interview,
interview_lidl_01_001,"INTERVIEW 01 — LIDL PLUS APP
Participant: Sarah K., 28, Marketing Manager, London (Hackney)
Interviewer: M.
Duration: 42 minutes
Date: April 14, 2026

---

M: Thanks for making time. So just to start broadly — when did you first start using the Lidl Plus app? Sarah: God, um, maybe two years ago?",interview,
interview_lidl_01_002,"Honestly I downloaded it because the cashier kept asking me at checkout, ""do you have the app, do you have the app,"" and I was like fine, I'll get the app. So it was kind of forced on me at first. But I do use it now.",interview,
interview_lidl_01_003,"I'd say I'm a regular user. M: Can you walk me through the last time you used it? Sarah: Yeah, so, last Saturday.",interview,
interview_lidl_01_004,"I went in for like, basics — pasta, some chicken, wine, the usual — and I opened the app at the till to scan the QR code. And honestly the worst part is I always forget to open it before I'm at the till, so there's like this awkward moment where I'm fumbling and there's a queue behind me and I'm trying to find the scan thing. The button.",interview,
interview_lidl_01_005,Whatever it's called. The barcode. M: And did you use any coupons that visit?,interview,
interview_lidl_01_006,"Sarah: Um. Actually wait — yes, there was a money-off thing for, I think it was like the deli stuff? Or the bakery?",interview,
interview_lidl_01_007,I can't remember. But I didn't actually buy any of those things so it didn't matter. M: Do you usually browse coupons before going shopping?,interview,
interview_lidl_01_008,"Sarah: [laughs] No. I know I'm supposed to. I know that's like, the whole point.",interview,
interview_lidl_01_009,But who has time to sit there scrolling through coupons before going to the supermarket. I'm just trying to get in and out. Sometimes if I remember on the bus on the way there I'll have a quick look but mostly no.,interview,
interview_lidl_01_010,"M: When you do look, what's that experience like? Sarah: It's fine I guess. It's a bit of a — like there's loads of them and a lot of them are for things I'd never buy.",interview,
interview_lidl_01_011,"Like, why are you offering me money off cat food, I don't have a cat. So I have to scroll past a bunch of stuff. And the ones I do want, sometimes you have to like, ""activate"" them?",interview,
interview_lidl_01_012,Which is annoying. Why isn't it just automatic. M: You mentioned activating — can you say more about that?,interview,
